data,open,high,low,close,volume,adjusted,quart,quint,seg,sext,terc
2017-10-27,32.290001,32.869999,32.029999,32.549999,17377200,30.153067,0,0,0,1,0
2017-10-30,32.189999,32.93,31.84,32.349998,19401600,29.967794,0,0,1,0,0
2017-10-31,32.419998,32.689999,32.009998,32.099998,14629600,29.7362,0,0,0,0,1
2017-11-01,32.799999,33.279999,32.689999,32.82,29709500,30.403185,1,0,0,0,0
2017-11-02,32.82,32.82,32.82,32.82,0,30.403185,0,1,0,0,0
2017-11-03,33.200001,33.540001,33,33.540001,29217800,31.070168,0,0,0,1,0
2017-11-06,33.889999,34.34,33.830002,34.34,26333200,31.811251,0,0,1,0,0
2017-11-07,34.240002,34.240002,33.52,33.52,20239700,31.05164,0,0,0,0,1
2017-11-08,33.810001,33.950001,33.450001,33.939999,11580800,31.440704,1,0,0,0,0
2017-11-09,33.700001,33.709999,32.799999,32.799999,19246700,30.384657,0,1,0,0,0
2017-11-10,32.779999,33.029999,32.5,32.77,12199100,30.356865,0,0,0,1,0
2017-11-13,32.84,33.439999,32.59,33.139999,12424700,30.699619,0,0,1,0,0
2017-11-14,33.02,33.099998,31.940001,32.16,23389800,29.791784,0,0,0,0,1
2017-11-15,32.16,32.16,32.16,32.16,0,29.791784,1,0,0,0,0
2017-11-16,32.459999,32.790001,32.029999,32.599998,16280300,30.199383,0,1,0,0,0
2017-11-17,32.59,33.169998,32.32,32.919998,13771300,30.495821,0,0,0,1,0
2017-11-20,32.919998,32.919998,32.919998,32.919998,0,30.495821,0,0,1,0,0
2017-11-21,33.290001,34.049999,33.150002,34.049999,23741300,31.542608,0,0,0,0,1
2017-11-22,34.400002,34.970001,34.279999,34.740002,22150200,32.181801,1,0,0,0,0
2017-11-23,34.830002,35.349998,34.57,35.200001,11962000,32.607922,0,1,0,0,0
2017-11-24,35.18,35.849998,35.110001,35.790001,30784900,33.15448,0,0,0,1,0
2017-11-27,35.459999,35.779999,35.080002,35.41,15112700,32.802464,0,0,1,0,0
2017-11-28,35.450001,36.650002,35.25,36.25,28591400,33.580601,0,0,0,0,1
2017-11-29,36.279999,36.580002,35.630001,35.700001,18176000,33.071106,1,0,0,0,0
2017-11-30,35.700001,36.080002,34.93,35.139999,25417200,32.552345,0,1,0,0,0
2017-12-01,35.200001,35.970001,34.889999,35.48,17204100,32.867306,0,0,0,1,0
2017-12-04,35.959999,36.98,35.849998,36.830002,22600100,34.117889,0,0,1,0,0
2017-12-05,36.810001,37.400002,36.02,36.02,25898800,33.367542,0,0,0,0,1
2017-12-06,35.580002,35.990002,35.360001,35.759998,20400800,33.126686,1,0,0,0,0
2017-12-07,35.049999,35.5,34.900002,35.34,19876200,32.737617,0,1,0,0,0
2017-12-08,35.810001,35.950001,35.459999,35.48,21502200,32.867306,0,0,0,1,0
2017-12-11,35.830002,36,35.48,35.759998,14785300,33.126686,0,0,1,0,0
2017-12-12,35.630001,36.18,35.220001,36.18,17624400,33.515759,0,0,0,0,1
2017-12-13,36.43,36.48,36.049999,36.110001,21135300,33.450912,1,0,0,0,0
2017-12-14,35.91,36.580002,35.790001,36.240002,17718000,33.571342,0,1,0,0,0
2017-12-15,36.509998,37.279999,36.360001,36.889999,32954100,34.173477,0,0,0,1,0
2017-12-18,37.490002,38.02,37.34,37.84,24339300,35.05352,0,0,1,0,0
2017-12-19,37.709999,38.099998,37.639999,37.849998,14041000,35.062778,0,0,0,0,1
2017-12-20,37.970001,39.209999,37.970001,39.150002,19218100,36.267052,1,0,0,0,0
2017-12-21,39.099998,39.73,39.080002,39.73,11772500,36.804337,0,1,0,0,0
2017-12-22,39.34,39.830002,39.220001,39.790001,10140000,37.253666,0,0,0,1,0
2017-12-25,39.790001,39.790001,39.790001,39.790001,0,37.253666,0,0,1,0,0
2017-12-26,39.610001,40,39.02,39.849998,9986600,37.309837,0,0,0,0,1
2017-12-27,39.799999,40.209999,39.630001,39.860001,9943000,37.319202,1,0,0,0,0
2017-12-28,40.009998,40.259998,39.93,40.259998,9963300,37.693699,0,1,0,0,0
2017-12-29,40.259998,40.259998,40.259998,40.259998,0,37.693699,0,0,0,1,0
2018-01-02,40.439999,41.740002,40.439999,41.720001,14156500,39.060638,0,0,0,0,1
2018-01-03,41.830002,41.880001,41.299999,41.470001,12744200,38.826576,1,0,0,0,0
2018-01-04,41.810001,42.369999,41.52,41.639999,18433000,38.985741,0,1,0,0,0
2018-01-05,41.57,42.290001,41.310001,42.290001,15251300,39.594303,0,0,0,1,0
2018-01-08,42.400002,43.23,42.400002,43.23,14542800,40.474384,0,0,1,0,0
2018-01-09,43.580002,43.75,42.93,43.07,15986200,40.324589,0,0,0,0,1
2018-01-10,42.740002,42.950001,42.419998,42.470001,12149500,39.762829,1,0,0,0,0
2018-01-11,42.599998,43.299999,42.599998,43.299999,10236300,40.539925,0,1,0,0,0
2018-01-12,42.950001,43.66,42.75,43.549999,15014300,40.773987,0,0,0,1,0
