data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2017-09-26,21.18,16.139999,31.5
2017-09-27,21.1,15.88,31.93
2017-09-28,21.059999,15.91,31.75
2017-09-29,21.040001,15.81,31.870001
2017-10-02,20.700001,15.9,31.9
2017-10-03,21.42,16.639999,32.68
2017-10-04,21.200001,16.309999,32.610001
2017-10-05,21.23,16.57,32.27
2017-10-06,21.07,16.370001,32.139999
2017-10-09,21.07,16.48,31.5
2017-10-10,21.559999,16.719999,31.32
2017-10-11,21.629999,16.639999,31.1
2017-10-12,21.629999,16.639999,31.1
2017-10-13,22.129999,16.58,32.91
2017-10-16,21.92,16.639999,33.349998
2017-10-17,21.75,16.610001,32.580002
2017-10-18,21.780001,16.610001,32.27
2017-10-19,21.83,16.5,33
2017-10-20,21.530001,16.549999,32.950001
2017-10-23,21.299999,16.5,32.709999
2017-10-24,21.32,16.85,33.830002
2017-10-25,21.190001,17.02,33.549999
2017-10-26,21.040001,17.1,32.669998
2017-10-27,20.91,17.4,32.549999
2017-10-30,20.959999,17.35,32.349998
2017-10-31,20.9,17.42,32.099998
2017-11-01,20.74,17.540001,32.82
2017-11-02,20.74,17.540001,32.82
2017-11-03,20.6,17.709999,33.540001
2017-11-06,20.540001,18.1,34.34
2017-11-07,20.200001,17.27,33.52
2017-11-08,20.27,17.74,33.939999
2017-11-09,20.219999,17.5,32.799999
2017-11-10,20.209999,17.530001,32.77
2017-11-13,20.219999,17.48,33.139999
2017-11-14,20.200001,16.049999,32.16
2017-11-15,20.200001,16.049999,32.16
2017-11-16,20.42,16.35,32.599998
2017-11-17,20.540001,16.52,32.919998
2017-11-20,20.540001,16.52,32.919998
2017-11-21,20.809999,16.360001,34.049999
2017-11-22,20.83,16.5,34.740002
2017-11-23,20.709999,16.639999,35.200001
2017-11-24,20.620001,16.549999,35.790001
2017-11-27,20.74,16.32,35.41
2017-11-28,20.780001,16.280001,36.25
2017-11-29,20.559999,15.91,35.700001
2017-11-30,20.559999,15.95,35.139999
2017-12-01,20.450001,16.110001,35.48
2017-12-04,20.58,16.09,36.830002
2017-12-05,20.549999,15.92,36.02
2017-12-06,20.709999,16,35.759998
2017-12-07,20.719999,15.86,35.34
2017-12-08,21.02,15.89,35.48
2017-12-11,21.15,15.97,35.759998
2017-12-12,21.5,16.190001,36.18
2017-12-13,21.049999,15.94,36.110001
2017-12-14,20.969999,15.81,36.240002
2017-12-15,20.9,15.56,36.889999
2017-12-18,20.91,15.84,37.84
2017-12-19,20.59,15.76,37.849998
2017-12-20,20.700001,15.96,39.150002
2017-12-21,20.969999,16.65,39.73
2017-12-22,21.030001,16.59,39.790001
2017-12-25,21.030001,16.59,39.790001
2017-12-26,21.25,16.700001,39.849998
2017-12-27,21.4,16.76,39.860001
2017-12-28,21.280001,16.91,40.259998
2017-12-29,21.280001,16.91,40.259998
2018-01-02,21.690001,17.33,41.720001
2018-01-03,21.74,17.549999,41.470001
2018-01-04,21.620001,17.700001,41.639999
2018-01-05,21.700001,17.84,42.290001
2018-01-08,21.66,18.120001,43.23
2018-01-09,21.6,18.120001,43.07
2018-01-10,21.6,17.780001,42.470001
2018-01-11,21.85,18.219999,43.299999
2018-01-12,21.6,18.360001,43.549999
2018-01-15,21.82,18.459999,43.470001
2018-01-16,21.9,18.790001,42.299999
2018-01-17,22.030001,19.469999,43.150002
2018-01-18,21.92,19.440001,42.860001
2018-01-19,22,19.309999,42.880001
2018-01-22,21.9,19.51,42.650002
2018-01-23,21.82,19.34,40.93
2018-01-24,21.889999,20.629999,41.779999
2018-01-25,21.889999,20.629999,41.779999
2018-01-26,21.879999,21.709999,41.43
2018-01-29,21.84,21.709999,41.889999
2018-01-30,21.870001,21.18,41.470001
2018-01-31,21.950001,21.299999,41.450001
2018-02-01,22.23,22.129999,41.790001
2018-02-02,22.01,21.540001,40.799999
2018-02-05,21.68,20.57,40.349998
2018-02-06,21.620001,21.6,42.470001
